MemTotal:        8025424 kB
MemFree:          161760 kB
MemAvailable:    4680496 kB
Buffers:         2078772 kB
Cached:          1547968 kB
SwapCached:         9856 kB
Active:          1585448 kB
Inactive:        4936336 kB
Active(anon):    1390864 kB
Inactive(anon):  1504692 kB
Active(file):     194584 kB
Inactive(file):  3431644 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         676992 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             28012 kB
Writeback:             0 kB
AnonPages:       2779048 kB
Mapped:           127684 kB
Shmem:               488 kB
KReclaimable:    1095480 kB
Slab:            1216620 kB
SReclaimable:    1095480 kB
SUnreclaim:       121140 kB
KernelStack:       12064 kB
PageTables:        16116 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8813680 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1355776 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
