MemTotal:        8025424 kB
MemFree:          157356 kB
MemAvailable:    4689032 kB
Buffers:         2098124 kB
Cached:          1541624 kB
SwapCached:         9860 kB
Active:          1587552 kB
Inactive:        4949240 kB
Active(anon):    1392884 kB
Inactive(anon):  1504692 kB
Active(file):     194668 kB
Inactive(file):  3444548 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         677248 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             36096 kB
Writeback:             0 kB
AnonPages:       2781100 kB
Mapped:           129140 kB
Shmem:               500 kB
KReclaimable:    1095432 kB
Slab:            1216544 kB
SReclaimable:    1095432 kB
SUnreclaim:       121112 kB
KernelStack:       12160 kB
PageTables:        16156 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9386212 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1355776 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
