MemTotal:        8025424 kB
MemFree:          183240 kB
MemAvailable:    5204384 kB
Buffers:         2685300 kB
Cached:           811536 kB
SwapCached:         9288 kB
Active:          3661924 kB
Inactive:        2139144 kB
Active(anon):    1637648 kB
Inactive(anon):   667184 kB
Active(file):    2024276 kB
Inactive(file):  1471960 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1008512 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             25588 kB
Writeback:             0 kB
AnonPages:       2192140 kB
Mapped:           306712 kB
Shmem:               560 kB
KReclaimable:    1727880 kB
Slab:            1870676 kB
SReclaimable:    1727880 kB
SUnreclaim:       142796 kB
KernelStack:       12288 kB
PageTables:        14056 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8510612 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4800 kB
AnonHugePages:    452608 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
