MemTotal:        8025424 kB
MemFree:          215876 kB
MemAvailable:    5261428 kB
Buffers:         2538328 kB
Cached:          1183508 kB
SwapCached:         9748 kB
Active:          1912464 kB
Inactive:        4084004 kB
Active(anon):    1701840 kB
Inactive(anon):   573152 kB
Active(file):     210624 kB
Inactive(file):  3510852 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             21176 kB
Writeback:             0 kB
AnonPages:       2152760 kB
Mapped:           309960 kB
Shmem:               324 kB
KReclaimable:    1527048 kB
Slab:            1664932 kB
SReclaimable:    1527048 kB
SUnreclaim:       137884 kB
KernelStack:       12240 kB
PageTables:        14144 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8231084 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4800 kB
AnonHugePages:    428032 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
